<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.07	06:15:00	2645.324	2645.849	2643.308	2645.426	1442	0	160
2025.01.07	06:30:00	2645.436	2645.927	2642.685	2643.666	1491	0	159
2025.01.07	06:45:00	2643.588	2643.855	2639.873	2640.246	1393	0	159
2025.01.07	07:00:00	2640.242	2642.204	2639.890	2640.013	1330	0	160
2025.01.07	07:15:00	2639.967	2641.233	2639.519	2640.763	1088	0	160
2025.01.07	07:30:00	2640.724	2641.375	2638.677	2639.128	1483	0	159
2025.01.07	07:45:00	2639.080	2640.607	2638.011	2640.487	1275	0	159
2025.01.07	08:00:00	2640.444	2643.745	2640.043	2642.801	1946	0	159
2025.01.07	08:15:00	2642.876	2644.737	2642.631	2643.984	1408	0	159
2025.01.07	08:30:00	2643.956	2644.838	2643.066	2643.136	1209	0	159
2025.01.07	08:45:00	2643.141	2643.756	2640.496	2642.652	1230	0	160
2025.01.07	09:00:00	2642.597	2643.059	2640.116	2640.411	1506	0	159
2025.01.07	09:15:00	2640.375	2644.180	2640.270	2644.044	1233	0	160
2025.01.07	09:30:00	2644.051	2644.051	2641.097	2641.405	1208	0	160
2025.01.07	09:45:00	2641.407	2642.490	2640.482	2641.325	1146	0	159
2025.01.07	10:00:00	2641.373	2643.883	2641.329	2643.037	1279	0	159
2025.01.07	10:15:00	2642.960	2643.649	2642.260	2642.587	1115	0	160
2025.01.07	10:30:00	2642.658	2644.764	2642.628	2643.893	1407	0	160
2025.01.07	10:45:00	2643.862	2644.105	2642.834	2643.838	957	0	160
2025.01.07	11:00:00	2643.873	2646.946	2643.727	2644.887	1365	0	159
2025.01.07	11:15:00	2644.879	2645.536	2641.992	2645.536	1396	0	159
2025.01.07	11:30:00	2645.508	2646.758	2644.616	2646.624	1160	0	160
2025.01.07	11:45:00	2646.615	2648.689	2646.440	2648.389	1315	0	159
2025.01.07	12:00:00	2648.348	2651.366	2647.450	2648.264	2207	0	159
2025.01.07	12:15:00	2648.239	2649.227	2647.358	2648.187	1334	0	159
2025.01.07	12:30:00	2648.155	2652.008	2647.585	2649.616	1873	0	159
2025.01.07	12:45:00	2649.684	2652.752	2648.985	2651.644	1796	0	159
2025.01.07	13:00:00	2651.603	2655.015	2649.883	2654.921	3746	0	159
2025.01.07	13:15:00	2654.883	2661.053	2654.111	2660.480	4877	0	160
2025.01.07	13:30:00	2660.504	2662.071	2657.174	2661.077	3540	0	159
2025.01.07	13:45:00	2661.124	2664.264	2659.820	2662.514	3738	0	159
2025.01.07	14:00:00	2662.548	2662.969	2658.588	2658.605	3375	0	160
2025.01.07	14:15:00	2658.580	2660.774	2655.802	2660.358	2744	0	159
2025.01.07	14:30:00	2660.382	2663.004	2660.068	2661.479	3462	0	159
2025.01.07	14:45:00	2661.474	2661.776	2657.483	2658.486	3197	0	159
2025.01.07	15:00:00	2658.531	2658.531	2641.885	2648.502	8040	0	159
2025.01.07	15:15:00	2648.464	2653.657	2647.732	2651.284	5109	0	159
2025.01.07	15:30:00	2651.295	2652.116	2644.764	2647.435	5059	0	159
